# Measured / literature QE(lambda) points for photonPropagation.
# Values are fractional QE, not percent.
# Interpolation in the MC is linear between measured points.
# Some photocathode datasets are sparse digitizations from published figures; see notes/source columns.
# Extra column group is for plotting only; photonPropagation can ignore it.
group,material,dataset,label,qe_model,interpolation,wavelength_nm,wavelength_label,photon_energy_ev,qe,work_function_ev,source_ref,source_title,source_url,notes
photocathode,CsTe,Hamamatsu_CsTe,Cs-Te photocathode,table_lambda,linear,320,320,3.875,0.01,,Hamamatsu_PMT_Handbook_CsTe,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from handbook spectral response curve for Cs-Te photocathodes
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,200,200,6.199,0.015,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,220,220,5.636,0.06,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,240,240,5.166,0.13,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,260,260,4.769,0.18,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,280,280,4.428,0.17,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,300,300,4.133,0.11,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,320,320,3.875,0.045,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,Cs2Te,Review_Cs2Te,Cs2Te photocathode,table_lambda,linear,340,340,3.647,0.012,,Schaber2023_Cs2Te,Review of photocathodes for electron sources,https://pubs.rsc.org/en/content/articlehtml/2023/tc/d2tc03729g,Approximate Cs2Te QE(lambda) points compiled from review figure / typical curves
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,240,240,5.166,0.02,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,260,260,4.769,0.06,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,280,280,4.428,0.12,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,300,300,4.133,0.18,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,320,320,3.875,0.23,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,340,340,3.647,0.27,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,360,360,3.444,0.3,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,380,380,3.263,0.31,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,K2CsSb,Hamamatsu_K2CsSb,K2CsSb photocathode,table_lambda,linear,400,400,3.100,0.29,,Hamamatsu_PMT_Handbook_K2CsSb,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical K2CsSb / bialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,250,250,4.959,0.012,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,280,280,4.428,0.04,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,300,300,4.133,0.08,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,320,320,3.875,0.12,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,340,340,3.647,0.15,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,360,360,3.444,0.18,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,380,380,3.263,0.19,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Na2KSbCs,Hamamatsu_Multialkali,Na2KSbCs multialkali photocathode,table_lambda,linear,400,400,3.100,0.18,,Hamamatsu_PMT_Handbook_Multialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical multialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,250,250,4.959,0.01,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,280,280,4.428,0.05,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,300,300,4.133,0.1,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,320,320,3.875,0.15,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,340,340,3.647,0.19,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,360,360,3.444,0.22,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,380,380,3.263,0.24,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,Bialkali,Hamamatsu_Bialkali,Bialkali photocathode,table_lambda,linear,400,400,3.100,0.23,,Hamamatsu_PMT_Handbook_Bialkali,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical bialkali spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,250,250,4.959,0.006,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,280,280,4.428,0.02,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,300,300,4.133,0.04,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,320,320,3.875,0.08,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,340,340,3.647,0.12,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,360,360,3.444,0.16,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,380,380,3.263,0.18,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,S20,Hamamatsu_S20,S20 multialkali photocathode,table_lambda,linear,400,400,3.100,0.17,,Hamamatsu_PMT_Handbook_S20,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from typical S20 spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,250,250,4.959,0.002,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,280,280,4.428,0.01,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,300,300,4.133,0.025,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,320,320,3.875,0.05,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,340,340,3.647,0.09,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,360,360,3.444,0.13,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,380,380,3.263,0.18,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAsP,Hamamatsu_GaAsP,GaAsP photocathode,table_lambda,linear,400,400,3.100,0.22,,Hamamatsu_PMT_Handbook_GaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAsP spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,260,260,4.769,0.001,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,280,280,4.428,0.004,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,300,300,4.133,0.01,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,320,320,3.875,0.03,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,340,340,3.647,0.07,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,360,360,3.444,0.12,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,380,380,3.263,0.18,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,GaAs,Hamamatsu_GaAs,GaAs photocathode,table_lambda,linear,400,400,3.100,0.23,,Hamamatsu_PMT_Handbook_GaAs,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from GaAs spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,280,280,4.428,0.001,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,300,300,4.133,0.004,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,320,320,3.875,0.012,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,340,340,3.647,0.035,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,360,360,3.444,0.08,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,380,380,3.263,0.14,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,InGaAsP,Hamamatsu_InGaAsP,InGaAsP photocathode,table_lambda,linear,400,400,3.100,0.19,,Hamamatsu_PMT_Handbook_InGaAsP,"Hamamatsu Photomultiplier Tubes: Basics and Applications, spectral response figures",https://www.hamamatsu.com/content/dam/hamamatsu-photonics/sites/documents/99_SALES_LIBRARY/etd/PMT_handbook_v4E.pdf,Approximate points digitized from InGaAsP spectral response curve
photocathode,Al_LePimpec,LePimpec2012,Al technical cathode,table_lambda,linear,193,193,6.424,0.0018,4.3,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al cathode points from Le Pimpec et al.
photocathode,Al_LePimpec,LePimpec2012,Al technical cathode,table_lambda,linear,213,213,5.821,0.00045,4.3,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al cathode points from Le Pimpec et al.
photocathode,Al_LePimpec,LePimpec2012,Al technical cathode,table_lambda,linear,248,248,4.999,8e-05,4.3,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al cathode points from Le Pimpec et al.
photocathode,Al_LePimpec,LePimpec2012,Al technical cathode,table_lambda,linear,266,266,4.661,2e-05,4.3,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al cathode points from Le Pimpec et al.
photocathode,Mg_LePimpec,LePimpec2012,Mg technical cathode,table_lambda,linear,193,193,6.424,0.0012,3.7,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Mg cathode points from Le Pimpec et al.
photocathode,Mg_LePimpec,LePimpec2012,Mg technical cathode,table_lambda,linear,213,213,5.821,0.0006,3.7,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Mg cathode points from Le Pimpec et al.
